ranking_name,rank,quarter,quarter_label,geography_code,geography_name,state,remoteness,ranking_field,ranking_value,funded_plan_count,population_count,mean_plan_utilisation,payment_amount,active_provider_count,reliability_flag
lowest_utilisation,1,2026Q1,2026 Q1,Darwin Remote,Darwin Remote,NT,Very Remote Australia,mean_plan_utilisation,0.52,649.0,24823.0,0.52,26292000.0,,funded_plan_context_only
lowest_utilisation,2,2026Q1,2026 Q1,Wheat Belt,Wheat Belt,WA,Outer Regional Australia,mean_plan_utilisation,0.56,1643.0,81725.0,0.56,54970000.0,,funded_plan_context_only
lowest_utilisation,3,2026Q1,2026 Q1,East Arnhem,East Arnhem,NT,Very Remote Australia,mean_plan_utilisation,0.59,279.0,,0.59,15550000.0,,funded_plan_context_only
lowest_utilisation,4,2026Q1,2026 Q1,Eyre and Western,Eyre and Western,SA,Very Remote Australia,mean_plan_utilisation,0.6,1925.0,58597.0,0.6,100442000.0,,funded_plan_context_only
lowest_utilisation,5,2026Q1,2026 Q1,Far North (SA),Far North (SA),SA,Very Remote Australia,mean_plan_utilisation,0.6,733.0,24414.0,0.6,35931000.0,,funded_plan_context_only
lowest_utilisation,6,2026Q1,2026 Q1,Midwest-Gascoyne,Midwest-Gascoyne,WA,Very Remote Australia,mean_plan_utilisation,0.62,1732.0,70223.0,0.62,93147000.0,,funded_plan_context_only
lowest_utilisation,7,2026Q1,2026 Q1,Far West,Far West,NSW,Remote Australia,mean_plan_utilisation,0.65,1021.0,29514.0,0.65,59979000.0,,funded_plan_context_only
lowest_utilisation,8,2026Q1,2026 Q1,Great Southern,Great Southern,WA,Outer Regional Australia,mean_plan_utilisation,0.66,1619.0,67150.0,0.66,76961000.0,,funded_plan_context_only
lowest_utilisation,9,2026Q1,2026 Q1,Yorke and Mid North,Yorke and Mid North,SA,Outer Regional Australia,mean_plan_utilisation,0.66,2438.0,79930.0,0.66,110272000.0,,funded_plan_context_only
lowest_utilisation,10,2026Q1,2026 Q1,Goldfields-Esperance,Goldfields-Esperance,WA,Very Remote Australia,mean_plan_utilisation,0.66,1178.0,58079.0,0.66,80276000.0,,funded_plan_context_only
lowest_utilisation,11,2026Q1,2026 Q1,Rockhampton,Rockhampton,QLD,Very Remote Australia,mean_plan_utilisation,0.67,8952.0,254611.0,0.67,438005000.0,,funded_plan_context_only
lowest_utilisation,12,2026Q1,2026 Q1,Murray and Mallee,Murray and Mallee,SA,Outer Regional Australia,mean_plan_utilisation,0.67,2755.0,74882.0,0.67,134984000.0,,funded_plan_context_only
lowest_utilisation,13,2026Q1,2026 Q1,Kimberley-Pilbara,Kimberley-Pilbara,WA,Very Remote Australia,mean_plan_utilisation,0.67,2092.0,102732.0,0.67,156736000.0,,funded_plan_context_only
lowest_utilisation,14,2026Q1,2026 Q1,Ovens Murray,Ovens Murray,VIC,Inner Regional Australia,mean_plan_utilisation,0.68,5126.0,137518.0,0.68,245338000.0,,funded_plan_context_only
lowest_utilisation,15,2026Q1,2026 Q1,Limestone Coast,Limestone Coast,SA,Outer Regional Australia,mean_plan_utilisation,0.68,2135.0,69717.0,0.68,116844000.0,,funded_plan_context_only
largest_utilisation_gap_from_national,1,2026Q1,2026 Q1,Darwin Remote,Darwin Remote,NT,Very Remote Australia,mean_plan_utilisation_gap_from_national,0.2186029448813404,649.0,24823.0,0.52,26292000.0,,funded_plan_context_only
largest_utilisation_gap_from_national,2,2026Q1,2026 Q1,Wheat Belt,Wheat Belt,WA,Outer Regional Australia,mean_plan_utilisation_gap_from_national,0.1786029448813404,1643.0,81725.0,0.56,54970000.0,,funded_plan_context_only
largest_utilisation_gap_from_national,3,2026Q1,2026 Q1,East Arnhem,East Arnhem,NT,Very Remote Australia,mean_plan_utilisation_gap_from_national,0.1486029448813404,279.0,,0.59,15550000.0,,funded_plan_context_only
largest_utilisation_gap_from_national,4,2026Q1,2026 Q1,Far North (SA),Far North (SA),SA,Very Remote Australia,mean_plan_utilisation_gap_from_national,0.1386029448813404,733.0,24414.0,0.6,35931000.0,,funded_plan_context_only
largest_utilisation_gap_from_national,5,2026Q1,2026 Q1,Eyre and Western,Eyre and Western,SA,Very Remote Australia,mean_plan_utilisation_gap_from_national,0.1386029448813404,1925.0,58597.0,0.6,100442000.0,,funded_plan_context_only
largest_utilisation_gap_from_national,6,2026Q1,2026 Q1,Midwest-Gascoyne,Midwest-Gascoyne,WA,Very Remote Australia,mean_plan_utilisation_gap_from_national,0.1186029448813404,1732.0,70223.0,0.62,93147000.0,,funded_plan_context_only
largest_utilisation_gap_from_national,7,2026Q1,2026 Q1,Far West,Far West,NSW,Remote Australia,mean_plan_utilisation_gap_from_national,0.0886029448813404,1021.0,29514.0,0.65,59979000.0,,funded_plan_context_only
largest_utilisation_gap_from_national,8,2026Q1,2026 Q1,Great Southern,Great Southern,WA,Outer Regional Australia,mean_plan_utilisation_gap_from_national,0.0786029448813404,1619.0,67150.0,0.66,76961000.0,,funded_plan_context_only
largest_utilisation_gap_from_national,9,2026Q1,2026 Q1,Goldfields-Esperance,Goldfields-Esperance,WA,Very Remote Australia,mean_plan_utilisation_gap_from_national,0.0786029448813404,1178.0,58079.0,0.66,80276000.0,,funded_plan_context_only
largest_utilisation_gap_from_national,10,2026Q1,2026 Q1,Yorke and Mid North,Yorke and Mid North,SA,Outer Regional Australia,mean_plan_utilisation_gap_from_national,0.0786029448813404,2438.0,79930.0,0.66,110272000.0,,funded_plan_context_only
largest_utilisation_gap_from_national,11,2026Q1,2026 Q1,Murray and Mallee,Murray and Mallee,SA,Outer Regional Australia,mean_plan_utilisation_gap_from_national,0.0686029448813404,2755.0,74882.0,0.67,134984000.0,,funded_plan_context_only
largest_utilisation_gap_from_national,12,2026Q1,2026 Q1,Kimberley-Pilbara,Kimberley-Pilbara,WA,Very Remote Australia,mean_plan_utilisation_gap_from_national,0.0686029448813404,2092.0,102732.0,0.67,156736000.0,,funded_plan_context_only
largest_utilisation_gap_from_national,13,2026Q1,2026 Q1,Rockhampton,Rockhampton,QLD,Very Remote Australia,mean_plan_utilisation_gap_from_national,0.0686029448813404,8952.0,254611.0,0.67,438005000.0,,funded_plan_context_only
largest_utilisation_gap_from_national,14,2026Q1,2026 Q1,"Barossa, Light and Lower North","Barossa, Light and Lower North",SA,Inner Regional Australia,mean_plan_utilisation_gap_from_national,0.0586029448813404,3458.0,83434.0,0.68,131105000.0,,funded_plan_context_only
largest_utilisation_gap_from_national,15,2026Q1,2026 Q1,Ovens Murray,Ovens Murray,VIC,Inner Regional Australia,mean_plan_utilisation_gap_from_national,0.0586029448813404,5126.0,137518.0,0.68,245338000.0,,funded_plan_context_only
highest_unspent_funding_per_plan,1,2026Q1,2026 Q1,Barkly,Barkly,NT,Very Remote Australia,unspent_funding_per_funded_plan,89905.75916230367,191.0,7448.0,0.69,8040000.0,,funded_plan_context_only
highest_unspent_funding_per_plan,2,2026Q1,2026 Q1,East Arnhem,East Arnhem,NT,Very Remote Australia,unspent_funding_per_funded_plan,70265.2329749104,279.0,,0.59,15550000.0,,funded_plan_context_only
highest_unspent_funding_per_plan,3,2026Q1,2026 Q1,Katherine,Katherine,NT,Remote Australia,unspent_funding_per_funded_plan,53596.53465346534,404.0,11282.0,0.71,48643000.0,,funded_plan_context_only
highest_unspent_funding_per_plan,4,2026Q1,2026 Q1,Central Australia,Central Australia,NT,Very Remote Australia,unspent_funding_per_funded_plan,53380.425531914894,1175.0,42023.0,0.79,193428000.0,,funded_plan_context_only
highest_unspent_funding_per_plan,5,2026Q1,2026 Q1,Darwin Remote,Darwin Remote,NT,Very Remote Australia,unspent_funding_per_funded_plan,47488.4437596302,649.0,24823.0,0.52,26292000.0,,funded_plan_context_only
highest_unspent_funding_per_plan,6,2026Q1,2026 Q1,Far North (SA),Far North (SA),SA,Very Remote Australia,unspent_funding_per_funded_plan,42980.90040927695,733.0,24414.0,0.6,35931000.0,,funded_plan_context_only
highest_unspent_funding_per_plan,7,2026Q1,2026 Q1,Goldfields-Esperance,Goldfields-Esperance,WA,Very Remote Australia,unspent_funding_per_funded_plan,42853.989813242784,1178.0,58079.0,0.66,80276000.0,,funded_plan_context_only
highest_unspent_funding_per_plan,8,2026Q1,2026 Q1,Kimberley-Pilbara,Kimberley-Pilbara,WA,Very Remote Australia,unspent_funding_per_funded_plan,38078.39388145316,2092.0,102732.0,0.67,156736000.0,,funded_plan_context_only
highest_unspent_funding_per_plan,9,2026Q1,2026 Q1,Great Southern,Great Southern,WA,Outer Regional Australia,unspent_funding_per_funded_plan,37463.866584311305,1619.0,67150.0,0.66,76961000.0,,funded_plan_context_only
highest_unspent_funding_per_plan,10,2026Q1,2026 Q1,Far West,Far West,NSW,Remote Australia,unspent_funding_per_funded_plan,37254.65230166503,1021.0,29514.0,0.65,59979000.0,,funded_plan_context_only
highest_unspent_funding_per_plan,11,2026Q1,2026 Q1,Midwest-Gascoyne,Midwest-Gascoyne,WA,Very Remote Australia,unspent_funding_per_funded_plan,36219.97690531178,1732.0,70223.0,0.62,93147000.0,,funded_plan_context_only
highest_unspent_funding_per_plan,12,2026Q1,2026 Q1,Eyre and Western,Eyre and Western,SA,Very Remote Australia,unspent_funding_per_funded_plan,35822.33766233766,1925.0,58597.0,0.6,100442000.0,,funded_plan_context_only
highest_unspent_funding_per_plan,13,2026Q1,2026 Q1,Wheat Belt,Wheat Belt,WA,Outer Regional Australia,unspent_funding_per_funded_plan,35542.90931223372,1643.0,81725.0,0.56,54970000.0,,funded_plan_context_only
highest_unspent_funding_per_plan,14,2026Q1,2026 Q1,Darwin Urban,Darwin Urban,NT,Outer Regional Australia,unspent_funding_per_funded_plan,32251.150895140665,3910.0,160196.0,0.75,354828000.0,,funded_plan_context_only
highest_unspent_funding_per_plan,15,2026Q1,2026 Q1,Limestone Coast,Limestone Coast,SA,Outer Regional Australia,unspent_funding_per_funded_plan,30272.131147540982,2135.0,69717.0,0.68,116844000.0,,funded_plan_context_only
highest_payments_per_plan,1,2026Q1,2026 Q1,Central Australia,Central Australia,NT,Very Remote Australia,payments_per_funded_plan,164619.5744680851,1175.0,42023.0,0.79,193428000.0,,funded_plan_context_only
highest_payments_per_plan,2,2026Q1,2026 Q1,Katherine,Katherine,NT,Remote Australia,payments_per_funded_plan,120403.46534653463,404.0,11282.0,0.71,48643000.0,,funded_plan_context_only
highest_payments_per_plan,3,2026Q1,2026 Q1,Darwin Urban,Darwin Urban,NT,Outer Regional Australia,payments_per_funded_plan,90748.84910485931,3910.0,160196.0,0.75,354828000.0,,funded_plan_context_only
highest_payments_per_plan,4,2026Q1,2026 Q1,South East Metro,South East Metro,WA,Major Cities of Australia,payments_per_funded_plan,78962.00209643606,7632.0,345057.0,0.75,602638000.0,,funded_plan_context_only
highest_payments_per_plan,5,2026Q1,2026 Q1,TAS South West,TAS South West,TAS,Inner Regional Australia,payments_per_funded_plan,75116.74107142857,4480.0,167830.0,0.75,336523000.0,,funded_plan_context_only
highest_payments_per_plan,6,2026Q1,2026 Q1,Kimberley-Pilbara,Kimberley-Pilbara,WA,Very Remote Australia,payments_per_funded_plan,74921.60611854684,2092.0,102732.0,0.67,156736000.0,,funded_plan_context_only
highest_payments_per_plan,7,2026Q1,2026 Q1,Central North Metro,Central North Metro,WA,Major Cities of Australia,payments_per_funded_plan,73696.39318271898,7569.0,445921.0,0.73,557808000.0,,funded_plan_context_only
highest_payments_per_plan,8,2026Q1,2026 Q1,Eastern Adelaide,Eastern Adelaide,SA,Major Cities of Australia,payments_per_funded_plan,73390.74175323492,5487.0,250964.0,0.75,402695000.0,,funded_plan_context_only
highest_payments_per_plan,9,2026Q1,2026 Q1,Cairns,Cairns,QLD,Very Remote Australia,payments_per_funded_plan,73278.229336001,7997.0,305342.0,0.72,586006000.0,,funded_plan_context_only
highest_payments_per_plan,10,2026Q1,2026 Q1,TAS North West,TAS North West,TAS,Outer Regional Australia,payments_per_funded_plan,72427.08618331053,3655.0,120091.0,0.71,264721000.0,,funded_plan_context_only
highest_payments_per_plan,11,2026Q1,2026 Q1,North Sydney,North Sydney,NSW,Major Cities of Australia,payments_per_funded_plan,72043.6623445356,15116.0,939051.0,0.78,1089012000.0,,funded_plan_context_only
highest_payments_per_plan,12,2026Q1,2026 Q1,Sydney,Sydney,NSW,Major Cities of Australia,payments_per_funded_plan,71477.58441857786,8677.0,621058.0,0.76,620211000.0,,funded_plan_context_only
highest_payments_per_plan,13,2026Q1,2026 Q1,Toowoomba,Toowoomba,QLD,Very Remote Australia,payments_per_funded_plan,70887.33578560168,9515.0,294745.0,0.72,674493000.0,,funded_plan_context_only
