geography_type,geography_code,geography_name_latest,state_latest,remoteness_latest,quarter_latest,funded_plan_count_latest,funded_plans_per_1000_latest,mean_plan_utilisation_latest,payment_amount_latest,active_provider_count_latest,geography_name_first,state_first,remoteness_first,quarter_first,funded_plan_count_first,funded_plans_per_1000_first,mean_plan_utilisation_first,payment_amount_first,active_provider_count_first,funded_plan_count_change,funded_plan_count_growth_rate,funded_plans_per_1000_change,utilisation_change,payment_amount_change,provider_count_change
ndia_service_area,Barkly,Barkly,NT,Very Remote Australia,2026Q1,191.0,25.644468313641244,0.69,8040000.0,48.0,Barkly,NT,Very Remote Australia,2024Q2,148.0,19.87110633727175,0.66,5827000.0,48.0,43.0,0.2905405405405405,5.773361976369493,0.029999999999999916,2213000.0,0.0
ndia_service_area,Goulburn,Goulburn,VIC,Inner Regional Australia,2026Q1,6724.0,36.019434638439655,0.7,324039000.0,423.0,Goulburn,VIC,Inner Regional Australia,2024Q2,5286.0,28.31628963396669,0.74,248045000.0,423.0,1438.0,0.27203934922436623,7.703145004472965,-0.040000000000000036,75994000.0,0.0
ndia_service_area,South Metro,South Metro,WA,Inner Regional Australia,2026Q1,11703.0,26.49283971186801,0.73,658318000.0,702.0,South Metro,WA,Inner Regional Australia,2024Q2,9255.0,20.9511434276116,0.75,491785000.0,702.0,2448.0,0.26450567260940033,5.54169628425641,-0.020000000000000018,166533000.0,0.0
ndia_service_area,North Metro,North Metro,WA,Inner Regional Australia,2026Q1,9790.0,23.158332978506984,0.71,564526000.0,601.0,North Metro,WA,Inner Regional Australia,2024Q2,7783.0,18.410756442463725,0.76,440286000.0,601.0,2007.0,0.25786971604779646,4.747576536043258,-0.050000000000000044,124240000.0,0.0
ndia_service_area,Fleurieu and Kangaroo Island,Fleurieu and Kangaroo Island,SA,Inner Regional Australia,2026Q1,2013.0,33.33057372299032,0.7,111089000.0,161.0,Fleurieu and Kangaroo Island,SA,Inner Regional Australia,2024Q2,1623.0,26.87308552032453,0.74,84484000.0,161.0,390.0,0.24029574861367836,6.457488202665793,-0.040000000000000036,26605000.0,0.0
ndia_service_area,Darwin Remote,Darwin Remote,NT,Very Remote Australia,2026Q1,649.0,26.145107360109574,0.52,26292000.0,67.0,Darwin Remote,NT,Very Remote Australia,2024Q2,524.0,21.10945494098216,0.62,18336000.0,67.0,125.0,0.2385496183206107,5.035652419127413,-0.09999999999999998,7956000.0,0.0
ndia_service_area,Adelaide Hills,Adelaide Hills,SA,Inner Regional Australia,2026Q1,2847.0,32.357420498715705,0.7,123247000.0,182.0,Adelaide Hills,SA,Inner Regional Australia,2024Q2,2303.0,26.17461868933694,0.75,102470000.0,182.0,544.0,0.23621363438992618,6.182801809378766,-0.050000000000000044,20777000.0,0.0
ndia_service_area,Goldfields-Esperance,Goldfields-Esperance,WA,Very Remote Australia,2026Q1,1178.0,20.282718366363056,0.66,80276000.0,110.0,Goldfields-Esperance,WA,Very Remote Australia,2024Q2,959.0,16.511992286368567,0.67,53846000.0,110.0,219.0,0.2283628779979145,3.770726079994489,-0.010000000000000009,26430000.0,0.0
ndia_service_area,Central South Metro,Central South Metro,WA,Major Cities of Australia,2026Q1,8712.0,21.37499723979891,0.7,530255000.0,635.0,Central South Metro,WA,Major Cities of Australia,2024Q2,7101.0,17.422389279133615,0.74,427812000.0,635.0,1611.0,0.22686945500633712,3.9526079606652935,-0.040000000000000036,102443000.0,0.0
ndia_service_area,Beenleigh,Beenleigh,QLD,Major Cities of Australia,2026Q1,19990.0,34.684026609016115,0.74,1250993000.0,1063.0,Beenleigh,QLD,Major Cities of Australia,2024Q2,16391.0,28.439513764301307,0.79,972354000.0,1063.0,3599.0,0.21957171618571167,6.244512844714809,-0.050000000000000044,278639000.0,0.0
