quarter,quarter_label,geography_code,geography_name,remoteness,support_class,support_type,support_type_group,service_type_opportunity_score,rank_within_support_type,overall_rank,service_type_opportunity_segment,support_undersupply_score,support_payment_gap_from_remoteness_benchmark,support_share_gap_from_remoteness,projected_next_quarter_payments,payments,local_support_share,remoteness_benchmark,reliability_flag
2026Q1,2026 Q1,Wheat Belt,Wheat Belt,Outer Regional Australia,Capital,Capital,Capital,0.6456718749999999,1.0,60.0,under-serviced support gap,0.7899305555555555,574677.1354993673,0.0104543775786677,700832.0126782884,665000.0,0.0120975077314899,0.0225518853101576,suppression_present
2026Q1,2026 Q1,Yorke and Mid North,Yorke and Mid North,Outer Regional Australia,Capital,Capital,Capital,0.6401770833333333,2.0,65.0,under-serviced support gap,0.8444444444444444,1532841.496921707,0.0139005504291362,1216732.6203208556,954000.0,0.0086513348810214,0.0225518853101576,suppression_present
2026Q1,2026 Q1,Great Southern,Great Southern,Outer Regional Australia,Capital,Capital,Capital,0.6307499999999999,3.0,77.0,under-serviced support gap,0.8048611111111111,837615.6453550449,0.0108836377562017,1260006.25,898000.0,0.0116682475539559,0.0225518853101576,suppression_present
2026Q1,2026 Q1,Central North Metro,Central North Metro,Major Cities of Australia,Capital,Capital,Capital,0.6190833333333332,4.0,97.0,under-indexed support mix,0.7805555555555556,2848879.3515258487,0.0051072758933644,12956722.181618856,11909000.0,0.0213496400195049,0.0264569159128693,suppression_present
2026Q1,2026 Q1,Outer East Melbourne,Outer East Melbourne,Major Cities of Australia,Capital,Capital,Capital,0.6055347222222223,5.0,121.0,under-indexed support mix,0.725,2698095.4491052143,0.0033219921510002,20088995.732574683,18790000.0,0.0231349237618691,0.0264569159128693,suppression_present
2026Q1,2026 Q1,Far North (SA),Far North (SA),Very Remote Australia,Capital,Capital,Capital,0.6049027777777778,6.0,123.0,under-serviced support gap,0.8326388888888889,685268.0403531858,0.0190717775835124,65679.24528301887,59000.0,0.0016420361247947,0.0207138137083071,suppression_present
2026Q1,2026 Q1,Murray and Mallee,Murray and Mallee,Outer Regional Australia,Capital,Capital,Capital,0.5989409722222222,7.0,139.0,under-serviced support gap,0.7979166666666666,1194143.6867063236,0.008846557271279,2032363.4204275531,1850000.0,0.0137053280388786,0.0225518853101576,suppression_present
2026Q1,2026 Q1,Loddon,Loddon,Inner Regional Australia,Capital,Capital,Capital,0.5955225694444444,8.0,150.0,under-serviced support gap,0.7107638888888888,1722680.180282025,0.0034490715615643,11659554.208818477,11053000.0,0.0221298116773648,0.0255788832389291,suppression_present
2026Q1,2026 Q1,Limestone Coast,Limestone Coast,Outer Regional Australia,Capital,Capital,Capital,0.5924861111111112,9.0,155.0,under-indexed support mix,0.7937500000000001,1047052.4871800636,0.0089611147100413,1805113.81531854,1588000.0,0.0135907706001163,0.0225518853101576,suppression_present
2026Q1,2026 Q1,Central South Metro,Central South Metro,Major Cities of Australia,Capital,Capital,Capital,0.588720486111111,10.0,161.0,monitor,0.5204861111111111,143911.94737855718,0.0002714013962688,14801783.10940499,13885000.0,0.0261855145166005,0.0264569159128693,suppression_present
