quarter,quarter_label,geography_code,geography_name,remoteness,support_class,support_type,payments,local_support_share,national_support_share,support_location_quotient,remoteness_support_location_quotient,payments_rank_within_support,location_quotient_rank_within_support,reliability_flag
2026Q1,2026 Q1,North Sydney,North Sydney,Major Cities of Australia,Capital,Capital,38997000.0,0.0358095227600797,0.0253043492640577,1.4151528808900669,1.3535032910869609,7.0,1.0,suppression_present
2026Q1,2026 Q1,Barwon,Barwon,Inner Regional Australia,Capital,Capital,26814000.0,0.0334521846095498,0.0253043492640577,1.3219934747369808,1.3078047347523791,15.0,2.0,suppression_present
2026Q1,2026 Q1,Mackay,Mackay,Remote Australia,Capital,Capital,9027000.0,0.0332558456533832,0.0253043492640577,1.3142343755355843,1.378244025846198,44.0,3.0,suppression_present
2026Q1,2026 Q1,Beenleigh,Beenleigh,Major Cities of Australia,Capital,Capital,41149000.0,0.0328930697453942,0.0253043492640577,1.2998978713953937,1.2432692402138257,6.0,4.0,suppression_present
2026Q1,2026 Q1,Robina,Robina,Major Cities of Australia,Capital,Capital,38230000.0,0.0328860497944514,0.0253043492640577,1.2996204506694329,1.2430039050188273,8.0,5.0,suppression_present
2026Q1,2026 Q1,North Metro,North Metro,Inner Regional Australia,Capital,Capital,18560000.0,0.0328771394054481,0.0253043492640577,1.2992683219143988,1.2853234872823365,25.0,6.0,suppression_present
2026Q1,2026 Q1,Caboolture/Strathpine,Caboolture/Strathpine,Inner Regional Australia,Capital,Capital,36846000.0,0.0316065234025178,0.0253043492640577,1.2490549775730335,1.2356490745622173,9.0,7.0,suppression_present
2026Q1,2026 Q1,Central Highlands,Central Highlands,Inner Regional Australia,Capital,Capital,15092000.0,0.031462182631591,0.0253043492640577,1.243350789355405,1.2300061084648106,32.0,8.0,suppression_present
2026Q1,2026 Q1,Brisbane,Brisbane,Major Cities of Australia,Capital,Capital,60769000.0,0.0310770838916083,0.0253043492640577,1.2281321114923984,1.1746298772674229,2.0,9.0,suppression_present
2026Q1,2026 Q1,Eastern Adelaide,Eastern Adelaide,Major Cities of Australia,Capital,Capital,12450000.0,0.0309166987422242,0.0253043492640577,1.2217938671174715,1.1685677515868524,39.0,10.0,suppression_present
2026Q1,2026 Q1,Outer Gippsland,Outer Gippsland,Outer Regional Australia,Core,Community Participation Care,53680000.0,0.2952549103729738,0.2204855819341541,1.339112098772739,1.312773306018242,59.0,1.0,suppression_present
2026Q1,2026 Q1,Barkly,Barkly,Very Remote Australia,Core,Community Participation Care,2350000.0,0.2922885572139303,0.2204855819341541,1.3256583702657687,1.2619212159578588,80.0,2.0,suppression_present
2026Q1,2026 Q1,Great Southern,Great Southern,Outer Regional Australia,Core,Community Participation Care,22284000.0,0.2895492522186562,0.2204855819341541,1.3132344059809191,1.2874045976408213,71.0,3.0,suppression_present
2026Q1,2026 Q1,Northern NSW,Northern NSW,Inner Regional Australia,Core,Community Participation Care,196624000.0,0.2823945745496744,0.2204855819341541,1.2807847663889824,1.2304640959815925,16.0,4.0,suppression_present
2026Q1,2026 Q1,Wheat Belt,Wheat Belt,Outer Regional Australia,Core,Community Participation Care,15424000.0,0.2805894124067673,0.2204855819341541,1.272597554658076,1.2475670263828569,75.0,5.0,suppression_present
2026Q1,2026 Q1,Far West,Far West,Remote Australia,Core,Community Participation Care,16332000.0,0.2722953033561746,0.2204855819341541,1.234980087892971,1.1908769217871975,73.0,6.0,suppression_present
2026Q1,2026 Q1,Mid North Coast,Mid North Coast,Outer Regional Australia,Core,Community Participation Care,148672000.0,0.2666341456415848,0.2204855819341541,1.209304224351561,1.1855186029898208,32.0,7.0,suppression_present
2026Q1,2026 Q1,East Arnhem,East Arnhem,Very Remote Australia,Core,Community Participation Care,4137000.0,0.2660450160771704,0.2204855819341541,1.2066322602292523,1.1486178363866184,79.0,8.0,suppression_present
2026Q1,2026 Q1,Bundaberg,Bundaberg,Inner Regional Australia,Core,Community Participation Care,70935000.0,0.2635235289528529,0.2204855819341541,1.1951961966907736,1.1482382100999362,50.0,9.0,suppression_present
2026Q1,2026 Q1,Inner Gippsland,Inner Gippsland,Inner Regional Australia,Core,Community Participation Care,106162000.0,0.2626049744598221,0.2204855819341541,1.1910301442669688,1.1442358374421775,42.0,10.0,suppression_present
2026Q1,2026 Q1,"Barossa, Light and Lower North","Barossa, Light and Lower North",Inner Regional Australia,Capacity Building,Early Childhood Supports,5839000.0,0.0445368216315167,0.0225302672944722,1.9767551378515515,1.9482721368362608,51.0,1.0,suppression_present
2026Q1,2026 Q1,Darwin Remote,Darwin Remote,Very Remote Australia,Capacity Building,Early Childhood Supports,1059000.0,0.0402784116841624,0.0225302672944722,1.7877467301084664,1.9549824281335608,77.0,2.0,suppression_present
2026Q1,2026 Q1,Midwest-Gascoyne,Midwest-Gascoyne,Very Remote Australia,Capacity Building,Early Childhood Supports,3370000.0,0.0361793723898783,0.0225302672944722,1.60581194696944,1.756028461045892,64.0,3.0,suppression_present
2026Q1,2026 Q1,Brimbank Melton,Brimbank Melton,Major Cities of Australia,Capacity Building,Early Childhood Supports,30486000.0,0.0361303993827753,0.0225302672944722,1.6036382929038702,1.639637260924529,8.0,4.0,suppression_present
2026Q1,2026 Q1,Mallee,Mallee,Outer Regional Australia,Capacity Building,Early Childhood Supports,5780000.0,0.0335023909578321,0.0225302672944722,1.4869948287764836,1.3693454833883805,52.0,5.0,suppression_present
2026Q1,2026 Q1,Adelaide Hills,Adelaide Hills,Inner Regional Australia,Capacity Building,Early Childhood Supports,3981000.0,0.0323009890707278,0.0225302672944722,1.433670921367757,1.4130132033090133,61.0,6.0,suppression_present
2026Q1,2026 Q1,Kimberley-Pilbara,Kimberley-Pilbara,Very Remote Australia,Capacity Building,Early Childhood Supports,4946000.0,0.0315562474479379,0.0225302672944722,1.4006157599239943,1.531637089920568,56.0,7.0,suppression_present
2026Q1,2026 Q1,North Metro,North Metro,Inner Regional Australia,Capacity Building,Early Childhood Supports,17744000.0,0.0314316789660706,0.0225302672944722,1.3950868205537164,1.3749850595589592,23.0,8.0,suppression_present
2026Q1,2026 Q1,Townsville,Townsville,Very Remote Australia,Capacity Building,Early Childhood Supports,17900000.0,0.0310015223652602,0.0225302672944722,1.3759944327365536,1.5047125478710053,22.0,9.0,suppression_present
2026Q1,2026 Q1,Southern Melbourne,Southern Melbourne,Major Cities of Australia,Capacity Building,Early Childhood Supports,40947000.0,0.0308242767056032,0.0225302672944722,1.368127430657067,1.3988395780548606,4.0,10.0,suppression_present
2026Q1,2026 Q1,Western District,Western District,Outer Regional Australia,Core,Group Centre Care,19794000.0,0.0709081139172487,0.0291154427376625,2.4354125251039025,1.9267575978172848,29.0,1.0,suppression_present
2026Q1,2026 Q1,Murrumbidgee,Murrumbidgee,Outer Regional Australia,Core,Group Centre Care,31968000.0,0.0565002306456487,0.0291154427376625,1.9405588695569589,1.5352579932104415,16.0,2.0,suppression_present
2026Q1,2026 Q1,Darwin Remote,Darwin Remote,Very Remote Australia,Core,Group Centre Care,1444000.0,0.0549216491708504,0.0291154427376625,1.886340855803168,3.142794718562343,70.0,3.0,suppression_present
2026Q1,2026 Q1,Mallee,Mallee,Outer Regional Australia,Core,Group Centre Care,9436000.0,0.0546935226778727,0.0291154427376625,1.878505615410872,1.486165045850257,44.0,4.0,suppression_present
2026Q1,2026 Q1,Far West,Far West,Remote Australia,Core,Group Centre Care,3094000.0,0.0515847213191283,0.0291154427376625,1.771730616769928,2.0267265200412377,64.0,5.0,suppression_present
2026Q1,2026 Q1,Western NSW,Western NSW,Outer Regional Australia,Core,Group Centre Care,29224000.0,0.0508508787193318,0.0291154427376625,1.7465260335386643,1.381750430458487,17.0,6.0,suppression_present
2026Q1,2026 Q1,Eyre and Western,Eyre and Western,Very Remote Australia,Core,Group Centre Care,5093000.0,0.0507058800103542,0.0291154427376625,1.7415459028814022,2.901554747579871,55.0,7.0,suppression_present
2026Q1,2026 Q1,Inner East Melbourne,Inner East Melbourne,Major Cities of Australia,Core,Group Centre Care,42923000.0,0.0471245287327549,0.0291154427376625,1.6185406884366766,1.6044836005987768,6.0,8.0,suppression_present
2026Q1,2026 Q1,Central Highlands,Central Highlands,Inner Regional Australia,Core,Group Centre Care,22353000.0,0.0465991365202725,0.0291154427376625,1.6004955493942683,1.683934766574082,25.0,9.0,suppression_present
2026Q1,2026 Q1,Inner Gippsland,Inner Gippsland,Inner Regional Australia,Core,Group Centre Care,18742000.0,0.0463606792574177,0.0291154427376625,1.5923054880236287,1.6753177297521955,30.0,10.0,suppression_present
2026Q1,2026 Q1,South West,South West,Inner Regional Australia,Core,High Needs Personal Care,18225000.0,0.0630097392831583,0.0415839018317742,1.5152435559813835,1.5388389154186932,40.0,1.0,suppression_present
2026Q1,2026 Q1,Barkly,Barkly,Very Remote Australia,Core,High Needs Personal Care,449000.0,0.0558457711442786,0.0415839018317742,1.34296611631588,1.311938197403556,78.0,2.0,suppression_present
2026Q1,2026 Q1,Townsville,Townsville,Very Remote Australia,Core,High Needs Personal Care,31990000.0,0.0554043966740042,0.0415839018317742,1.332352045706057,1.301569354516317,24.0,3.0,suppression_present
2026Q1,2026 Q1,Central North Metro,Central North Metro,Major Cities of Australia,Core,High Needs Personal Care,30856000.0,0.0553165246823279,0.0415839018317742,1.3302389204867886,1.253812612588458,27.0,4.0,suppression_present
2026Q1,2026 Q1,North Metro,North Metro,Inner Regional Australia,Core,High Needs Personal Care,31227000.0,0.0553154327701469,0.0415839018317742,1.3302126624366082,1.3509267224135366,26.0,5.0,suppression_present
2026Q1,2026 Q1,Brimbank Melton,Brimbank Melton,Major Cities of Australia,Core,High Needs Personal Care,46204000.0,0.0547585440228875,0.0415839018317742,1.3168207313592342,1.241165339600784,14.0,6.0,suppression_present
2026Q1,2026 Q1,Eastern Adelaide,Eastern Adelaide,Major Cities of Australia,Core,High Needs Personal Care,21640000.0,0.0537379406250388,0.0415839018317742,1.2922774982115248,1.2180321905097649,39.0,7.0,suppression_present
2026Q1,2026 Q1,Central South Metro,Central South Metro,Major Cities of Australia,Core,High Needs Personal Care,27849000.0,0.0525200139555496,0.0415839018317742,1.262989080919269,1.1904264826641802,28.0,8.0,suppression_present
2026Q1,2026 Q1,Barwon,Barwon,Inner Regional Australia,Core,High Needs Personal Care,41304000.0,0.0515293888682347,0.0415839018317742,1.2391667592111613,1.258463053177194,17.0,9.0,suppression_present
2026Q1,2026 Q1,Caboolture/Strathpine,Caboolture/Strathpine,Inner Regional Australia,Core,High Needs Personal Care,59820000.0,0.0513136359425342,0.0415839018317742,1.2339783830320012,1.253193883649427,8.0,10.0,suppression_present
2026Q1,2026 Q1,North Sydney,North Sydney,Major Cities of Australia,Capacity Building,Other Capacity Building,93451000.0,0.0858126448560713,0.058005859168541,1.479378912511843,1.3193004358203415,8.0,1.0,suppression_present
2026Q1,2026 Q1,Western Melbourne,Western Melbourne,Major Cities of Australia,Capacity Building,Other Capacity Building,94300000.0,0.0805639304262541,0.058005859168541,1.3888929770382106,1.2386056705399022,7.0,2.0,suppression_present
2026Q1,2026 Q1,Inner East Melbourne,Inner East Melbourne,Major Cities of Australia,Capacity Building,Other Capacity Building,73029000.0,0.0801774621723635,0.058005859168541,1.3822304043355518,1.2326640317913966,11.0,3.0,suppression_present
2026Q1,2026 Q1,Bayside Peninsula,Bayside Peninsula,Major Cities of Australia,Capacity Building,Other Capacity Building,120448000.0,0.0785697139219104,0.058005859168541,1.35451340688911,1.207946194798145,3.0,4.0,suppression_present
2026Q1,2026 Q1,North East Melbourne,North East Melbourne,Major Cities of Australia,Capacity Building,Other Capacity Building,98852000.0,0.0779457127177074,0.058005859168541,1.3437558521670965,1.198352677874873,6.0,5.0,suppression_present
2026Q1,2026 Q1,South Eastern Sydney,South Eastern Sydney,Major Cities of Australia,Capacity Building,Other Capacity Building,80844000.0,0.0746406871330586,0.058005859168541,1.286778408301542,1.147540566192057,9.0,6.0,suppression_present
2026Q1,2026 Q1,Hume Moreland,Hume Moreland,Major Cities of Australia,Capacity Building,Other Capacity Building,63155000.0,0.0728311247395181,0.058005859168541,1.2555822081335095,1.1197199989732485,16.0,7.0,suppression_present
2026Q1,2026 Q1,ACT,ACT,Inner Regional Australia,Capacity Building,Other Capacity Building,50443000.0,0.0728218972411901,0.058005859168541,1.255423129404908,1.2789004045682022,23.0,8.0,suppression_present
2026Q1,2026 Q1,Outer East Melbourne,Outer East Melbourne,Major Cities of Australia,Capacity Building,Other Capacity Building,57548000.0,0.0708551672510933,0.058005859168541,1.2215174168046978,1.0893412409240857,18.0,9.0,suppression_present
