reporting_quarter,quarter,map_key,ndis_service_area,service_area_state_label,state_acronym,remoteness_category,population_2025_erp,funded_plans_count,funded_plans_per_1000_population_2025_erp,service_area_funded_plans_per_1000_population_2025_erp,funded_plans_per_1000,mean_plan_funding,service_area_mean_plan_funding,mean_plan_utilisation,service_area_mean_plan_utilisation,service_area_payment_amount,payment_amount_per_funded_plan,active_provider_count_quarter,active_provider_count_ever,funded_plans_per_active_provider_quarter,benchmark_national_funded_plans_per_1000,benchmark_national_mean_plan_utilisation,benchmark_national_mean_plan_funding,benchmark_national_payment_amount_per_funded_plan,benchmark_remoteness_funded_plans_per_1000,benchmark_remoteness_mean_plan_utilisation,benchmark_remoteness_mean_plan_funding,benchmark_remoteness_payment_amount_per_funded_plan,baseline_funded_plans_per_1000_population_2025_erp,baseline_mean_plan_utilisation,baseline_mean_plan_funding,baseline_quarter,plans_per_1000_change_from_baseline,mean_plan_utilisation_change_from_baseline,mean_plan_funding_change_from_baseline,funded_plans_per_1000_gap_from_national,mean_plan_utilisation_gap_from_national,mean_plan_funding_gap_from_national,payment_amount_per_funded_plan_gap_from_national,funded_plans_per_1000_gap_from_remoteness,mean_plan_utilisation_gap_from_remoteness,mean_plan_funding_gap_from_remoteness,payment_amount_per_funded_plan_gap_from_remoteness,sdac_national_disability_rate_2022,sdac_national_disability_per_1000_2022,funded_plans_per_1000_population_minus_sdac_national_per_1000,funded_plans_per_1000_gap_from_disability_estimate,funded_plans_per_1000_gap_from_historical_baseline,mean_plan_utilisation_gap_from_historical_baseline,plans_per_1000_benchmark_value,mean_utilisation_benchmark_value,benchmark_basis_label,benchmark_basis_selected,benchmark_reference_quarter,benchmark_position,market_position_typology
2024Q2,2024Q2,ACT,ACT,ACT (ACT),ACT,Inner Regional Australia,484630.0,10927.0,22.547097785939787,22.547097785939787,22.547097785939787,72000.0,72000.0,76.0,76.0,587257000.0,53743.66248741649,494.0,1923.0,22.119433198380566,24.12050932082575,77.4810548394224,79559.82881407744,60116.50993792392,26.8899974718611,76.30061336695022,76355.8163924701,56667.37290379991,22.547097785939787,76.0,72000.0,2024Q2,0.0,0.0,0.0,1.5734115348859632,1.4810548394223986,7559.828814077438,6372.847450507426,4.342899685921314,0.30061336695021623,4355.816392470093,2923.7104163834156,0.214,214.0,-191.4529022140602,191.4529022140602,0.0,0.0,24.12050932082575,77.4810548394224,national mean,National mean,2024Q2,Below national mean,Lower coverage / lower utilisation
2024Q2,2024Q2,ALL,ALL,ALL (National),National,National,27411454.0,661267.0,24.123747685912612,24.123747685912612,24.123747685912612,80000.0,80000.0,78.0,78.0,,,9647.0,21713.0,68.54638747797243,24.12050932082575,77.4810548394224,79559.82881407744,60116.50993792392,,,,,24.123747685912612,78.0,80000.0,2024Q2,0.0,0.0,0.0,-0.0032383650868617053,-0.5189451605776014,-440.17118592256156,,,,,,0.214,214.0,-189.8762523140874,189.8762523140874,0.0,0.0,24.12050932082575,77.4810548394224,national mean,National mean,2024Q2,Above national mean,Higher coverage / higher utilisation
2024Q2,2024Q2,Adelaide Hills,Adelaide Hills,Adelaide Hills (SA),SA,Inner Regional Australia,87986.0,2303.0,26.17461868933694,26.17461868933694,26.17461868933694,61000.0,61000.0,75.0,75.0,102470000.0,44494.13808076422,182.0,731.0,12.653846153846153,24.12050932082575,77.4810548394224,79559.82881407744,60116.50993792392,26.8899974718611,76.30061336695022,76355.8163924701,56667.37290379991,26.17461868933694,75.0,61000.0,2024Q2,0.0,0.0,0.0,-2.054109368511188,2.4810548394223986,18559.82881407744,15622.371857159698,0.7153787825241622,1.3006133669502162,15355.816392470093,12173.234823035687,0.214,214.0,-187.82538131066306,187.82538131066306,0.0,0.0,24.12050932082575,77.4810548394224,national mean,National mean,2024Q2,Above national mean,Higher coverage / lower utilisation
2024Q2,2024Q2,Barkly,Barkly,Barkly (NT),NT,Very Remote Australia,7448.0,148.0,19.87110633727175,19.87110633727175,19.87110633727175,128000.0,128000.0,66.0,66.0,5827000.0,39371.62162162162,48.0,127.0,3.0833333333333335,24.12050932082575,77.4810548394224,79559.82881407744,60116.50993792392,26.179182279595977,72.99395777967206,87236.47395075967,60770.62127062127,19.87110633727175,66.0,128000.0,2024Q2,0.0,0.0,0.0,4.249402983553999,11.481054839422399,-48440.17118592256,20744.8883163023,6.308075942324226,6.9939577796720585,-40763.52604924033,21398.99964899965,0.214,214.0,-194.12889366272825,194.12889366272825,0.0,0.0,24.12050932082575,77.4810548394224,national mean,National mean,2024Q2,Below national mean,Lower coverage / lower utilisation
2024Q2,2024Q2,"Barossa, Light and Lower North","Barossa, Light and Lower North","Barossa, Light and Lower North (SA)",SA,Inner Regional Australia,83434.0,2891.0,34.650142627705726,34.650142627705726,34.650142627705726,58000.0,58000.0,75.0,75.0,113338000.0,39203.73573158077,246.0,865.0,11.752032520325203,24.12050932082575,77.4810548394224,79559.82881407744,60116.50993792392,26.8899974718611,76.30061336695022,76355.8163924701,56667.37290379991,34.650142627705726,75.0,58000.0,2024Q2,0.0,0.0,0.0,-10.529633306879976,2.4810548394223986,21559.82881407744,20912.77420634315,-7.760145155844626,1.3006133669502162,18355.816392470093,17463.63717221914,0.214,214.0,-179.34985737229428,179.34985737229428,0.0,0.0,24.12050932082575,77.4810548394224,national mean,National mean,2024Q2,Above national mean,Higher coverage / lower utilisation
2024Q2,2024Q2,Barwon,Barwon,Barwon (VIC),VIC,Inner Regional Australia,360843.0,11912.0,33.01158675656726,33.01158675656726,33.01158675656726,77000.0,77000.0,74.0,74.0,682032000.0,57255.8764271323,567.0,2295.0,21.008818342151674,24.12050932082575,77.4810548394224,79559.82881407744,60116.50993792392,26.8899974718611,76.30061336695022,76355.8163924701,56667.37290379991,33.01158675656726,74.0,77000.0,2024Q2,0.0,0.0,0.0,-8.891077435741511,3.4810548394223986,2559.8288140774384,2860.6335107916166,-6.121589284706161,2.3006133669502162,-644.183607529907,-588.5035233323943,0.214,214.0,-180.98841324343275,180.98841324343275,0.0,0.0,24.12050932082575,77.4810548394224,national mean,National mean,2024Q2,Above national mean,Higher coverage / lower utilisation
2024Q2,2024Q2,Bayside Peninsula,Bayside Peninsula,Bayside Peninsula (VIC),VIC,Major Cities of Australia,985059.0,21331.0,21.654540489452916,21.654540489452916,21.654540489452916,80000.0,80000.0,77.0,77.0,1301245000.0,61002.53152688575,993.0,2670.0,21.481369587109768,24.12050932082575,77.4810548394224,79559.82881407744,60116.50993792392,21.54075115403415,79.58582408716173,80400.51139569166,62712.29290901039,21.654540489452916,77.0,80000.0,2024Q2,0.0,0.0,0.0,2.465968831372834,0.4810548394223986,-440.17118592256156,-886.0215889618339,-0.11378933541876535,2.5858240871617255,400.51139569166116,1709.7613821246414,0.214,214.0,-192.34545951054707,192.34545951054707,0.0,0.0,24.12050932082575,77.4810548394224,national mean,National mean,2024Q2,Below national mean,Lower coverage / lower utilisation
2024Q2,2024Q2,Beenleigh,Beenleigh,Beenleigh (QLD),QLD,Major Cities of Australia,576346.0,16391.0,28.439513764301307,28.439513764301307,28.439513764301307,77000.0,77000.0,79.0,79.0,972354000.0,59322.433042523335,1063.0,3184.0,15.419567262464723,24.12050932082575,77.4810548394224,79559.82881407744,60116.50993792392,21.54075115403415,79.58582408716173,80400.51139569166,62712.29290901039,28.439513764301307,79.0,77000.0,2024Q2,0.0,0.0,0.0,-4.319004443475556,-1.5189451605776014,2559.8288140774384,794.0768954005835,-6.8987626102671555,0.5858240871617255,3400.511395691661,3389.8598664870588,0.214,214.0,-185.5604862356987,185.5604862356987,0.0,0.0,24.12050932082575,77.4810548394224,national mean,National mean,2024Q2,Above national mean,Higher coverage / higher utilisation
2024Q2,2024Q2,Brimbank Melton,Brimbank Melton,Brimbank Melton (VIC),VIC,Major Cities of Australia,429748.0,12178.0,28.337537347468746,28.337537347468746,28.337537347468746,70000.0,70000.0,79.0,79.0,667334000.0,54798.32484808671,893.0,2395.0,13.637178051511759,24.12050932082575,77.4810548394224,79559.82881407744,60116.50993792392,21.54075115403415,79.58582408716173,80400.51139569166,62712.29290901039,28.337537347468746,79.0,70000.0,2024Q2,0.0,0.0,0.0,-4.217028026642996,-1.5189451605776014,9559.828814077438,5318.185089837207,-6.7967861934345954,0.5858240871617255,10400.511395691661,7913.968060923682,0.214,214.0,-185.66246265253125,185.66246265253125,0.0,0.0,24.12050932082575,77.4810548394224,national mean,National mean,2024Q2,Above national mean,Higher coverage / higher utilisation
2024Q2,2024Q2,Brisbane,Brisbane,Brisbane (QLD),QLD,Major Cities of Australia,1375301.0,26273.0,19.10345444379085,19.10345444379085,19.10345444379085,83000.0,83000.0,78.0,78.0,1639185000.0,62390.47691546455,1368.0,3982.0,19.205409356725145,24.12050932082575,77.4810548394224,79559.82881407744,60116.50993792392,21.54075115403415,79.58582408716173,80400.51139569166,62712.29290901039,19.10345444379085,78.0,83000.0,2024Q2,0.0,0.0,0.0,5.0170548770349015,-0.5189451605776014,-3440.1711859225616,-2273.966977540629,2.4372967102433023,1.5858240871617255,-2599.488604308339,321.81599354584614,0.214,214.0,-194.89654555620916,194.89654555620916,0.0,0.0,24.12050932082575,77.4810548394224,national mean,National mean,2024Q2,Below national mean,Lower coverage / higher utilisation
