quarter,ndis_service_area,service_area_state_label,remoteness_category,population_2025_erp,funded_plans_count,service_area_funded_plans_per_1000_population_2025_erp,service_area_mean_plan_utilisation,support_class,service_type,service_type_group,service_category_order,service_type_payment_amount,payment_item_participant_count_sum_not_unique,suppressed_payment_item_rows,suppressed_participant_item_rows,source_item_rows,service_area_payment_amount,service_type_payment_share_of_area_total,service_type_payment_per_1000_population,service_type_rank_within_area,national_service_type_payment_amount,national_service_type_area_mean_payment_amount,national_service_type_area_median_payment_amount,national_service_type_area_mean_share,national_payment_amount_from_area_items,national_service_type_payment_share,service_type_payment_share_gap_from_national,service_type_payment_amount_gap_from_national_area_mean
2024Q2,ACT,ACT (ACT),Inner Regional Australia,484630.0,10927.0,22.547097785939787,76.0,Capital,Capital,Capital,1,10128000.0,1387.0,216.0,216.0,255.0,587257000.0,0.01724628229207996,20898.41734931804,10.0,770140000.0,9391951.219512194,6662500.0,0.014531790423672293,39742434000.0,0.019378279649404462,-0.0021319973573245034,736048.7804878056
2024Q2,ACT,ACT (ACT),Inner Regional Australia,484630.0,10927.0,22.547097785939787,76.0,Core,Community Participation Care,Community Participation Care,2,104559000.0,17764.0,13.0,13.0,54.0,587257000.0,0.17804640898277926,215750.15991581208,3.0,8354690000.0,101886463.41463415,85725000.0,0.2086263232645507,39742434000.0,0.210220893868755,-0.03217448488597574,2672536.5853658468
2024Q2,ACT,ACT (ACT),Inner Regional Australia,484630.0,10927.0,22.547097785939787,76.0,Capacity Building,Early Childhood Supports,Early Childhood Supports,3,6994000.0,1774.0,2.0,2.0,11.0,587257000.0,0.011909606867180808,14431.628252481274,12.0,717407000.0,8748865.853658536,5574000.0,0.018192684211595915,39742434000.0,0.018051410741475975,-0.006141803874295167,-1754865.8536585364
2024Q2,ACT,ACT (ACT),Inner Regional Australia,484630.0,10927.0,22.547097785939787,76.0,Core,Group Centre Care,Group Centre Care,4,15188000.0,3174.0,57.0,57.0,103.0,587257000.0,0.025862612110200474,31339.37230464478,8.0,1280702000.0,15618317.07317073,9535000.0,0.030354275596505657,39742434000.0,0.03222505194322019,-0.006362439833019713,-430317.07317073084
2024Q2,ACT,ACT (ACT),Inner Regional Australia,484630.0,10927.0,22.547097785939787,76.0,Core,High Needs Personal Care,High Needs Personal Care,5,19137000.0,2167.0,19.0,19.0,36.0,587257000.0,0.032587095598690184,39487.85671543239,6.0,1082262000.0,13198317.07317073,11024000.0,0.02674595909407916,39742434000.0,0.02723190029075723,0.0053551953079329535,5938682.926829269
2024Q2,ACT,ACT (ACT),Inner Regional Australia,484630.0,10927.0,22.547097785939787,76.0,Capacity Building,Other Capacity Building,Other Capacity Building,6,46553000.0,8941.0,22.0,22.0,63.0,587257000.0,0.07927193715868862,96058.84901883912,4.0,2435570000.0,29702073.17073171,17788000.0,0.053436643730699764,39742434000.0,0.06128386600579119,0.017988071152897425,16850926.82926829
2024Q2,ACT,ACT (ACT),Inner Regional Australia,484630.0,10927.0,22.547097785939787,76.0,Core,Other Core,Other Core,7,15345000.0,9356.0,17.0,17.0,56.0,587257000.0,0.02612995673103939,31663.33078843654,7.0,946961000.0,11548304.878048781,9763000.0,0.022917359000371115,39742434000.0,0.023827453547510452,0.0023025031835289395,3796695.1219512187
2024Q2,ACT,ACT (ACT),Inner Regional Australia,484630.0,10927.0,22.547097785939787,76.0,Core,Personal Care,Personal Care,8,139162000.0,16064.0,13.0,13.0,61.0,587257000.0,0.2369695039820726,287151.02242948225,2.0,9299090000.0,113403536.58536585,93653500.0,0.22550223568643069,39742434000.0,0.2339839074778359,0.002985596504236687,25758463.414634153
2024Q2,ACT,ACT (ACT),Inner Regional Australia,484630.0,10927.0,22.547097785939787,76.0,Capacity Building,Plan Management,Plan Management,9,7653000.0,8240.0,1.0,1.0,4.0,587257000.0,0.013031773141912315,15791.428512473434,11.0,579643000.0,7068817.073170732,5803000.0,0.0179218828187062,39742434000.0,0.014584989937959009,-0.0015532167960466935,584182.9268292682
2024Q2,ACT,ACT (ACT),Inner Regional Australia,484630.0,10927.0,22.547097785939787,76.0,Core,Shared Accommodation Supports,Shared Accommodation Supports,10,176661000.0,4129.0,15.0,15.0,49.0,587257000.0,0.300824000395057,364527.57773971895,1.0,10294384000.0,125541268.29268293,96933500.0,0.25960048193947743,39742434000.0,0.25902751703632443,0.041796483358732595,51119731.70731707
