geography_type,geography_code,geography_name,state,remoteness,parent_geography_codes,latitude,longitude,area_sqkm,population,geography_vintage,reliability_flag
ndia_service_area,ACT,ACT,,Inner Regional Australia,,-35.53418583330262,149.04523961287657,2358.133,484630.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,ALL,ALL,,National,,,,,27411454.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Adelaide Hills,Adelaide Hills,,Inner Regional Australia,,-34.95136012623625,138.864884191798,1389.1363,87986.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Barkly,Barkly,,Very Remote Australia,,-19.93071698286517,134.99322318686964,322710.4145,7448.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,"Barossa, Light and Lower North","Barossa, Light and Lower North",,Inner Regional Australia,,-34.5211329255674,138.81420684742332,3144.0169,83434.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Barwon,Barwon,,Inner Regional Australia,,-38.26449686751889,143.9998715439878,6247.0178,360843.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Bayside Peninsula,Bayside Peninsula,,Major Cities of Australia,,-38.21195519552133,145.02844470077784,1067.1247,985059.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Beenleigh,Beenleigh,,Major Cities of Australia,,-27.66589835369423,153.2324334407004,1495.3005,576346.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Brimbank Melton,Brimbank Melton,,Major Cities of Australia,,-37.688397416803525,144.68589713687507,650.9364999999999,429748.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Brisbane,Brisbane,,Major Cities of Australia,,-27.42628060191491,153.0470231710074,1342.7173,1375301.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Bundaberg,Bundaberg,,Inner Regional Australia,,-24.932775861671544,151.88785259238998,6431.0889,107297.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Caboolture/Strathpine,Caboolture/Strathpine,,Inner Regional Australia,,-27.099488016321242,152.8931561620824,2041.4737,532445.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Cairns,Cairns,,Very Remote Australia,,-14.129683055973052,143.60647963442904,272215.5409,305342.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Central Australia,Central Australia,,Very Remote Australia,,-22.966012845309116,133.92388313412985,550004.7633,42023.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Central Coast,Central Coast,,Inner Regional Australia,,-33.34782417247295,151.3340573467695,1681.0059,357816.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Central Highlands,Central Highlands,,Inner Regional Australia,,-37.58412358705839,143.60269377476854,14671.6426,226453.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Central North Metro,Central North Metro,,Major Cities of Australia,,-31.94222423179996,115.81323038343535,191.2832,445921.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Central South Metro,Central South Metro,,Major Cities of Australia,,-32.07270418856322,115.75071479602047,383.0433,407579.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Darwin Remote,Darwin Remote,,Very Remote Australia,,-13.144958585293729,132.7757061050358,409728.7251,24823.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Darwin Urban,Darwin Urban,,Outer Regional Australia,,-12.608738064808518,131.08290988444213,5170.3793000000005,160196.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,East Arnhem,East Arnhem,,Very Remote Australia,,-12.625395205431428,136.27640888902798,33309.9334,,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Eastern Adelaide,Eastern Adelaide,,Major Cities of Australia,,-34.90717687497364,138.65896339009217,108.1355,250964.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Eyre and Western,Eyre and Western,,Very Remote Australia,,-33.4355148780981,135.0923312728278,151190.42210000005,58597.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Far North (SA),Far North (SA),,Very Remote Australia,,-31.070516039843838,136.6423782605507,107764.7475,24414.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Far West,Far West,,Remote Australia,,-33.63776769456271,143.00165994261448,101608.9914,29514.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Fleurieu and Kangaroo Island,Fleurieu and Kangaroo Island,,Inner Regional Australia,,-35.700230392311525,137.75312042915118,7363.5529,60395.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Goldfields-Esperance,Goldfields-Esperance,,Very Remote Australia,,-33.16060193885657,123.24875537804891,769164.0669,58079.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Goulburn,Goulburn,,Inner Regional Australia,,-36.62285076929799,145.44770238266696,16512.9203,186677.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Great Southern,Great Southern,,Outer Regional Australia,,-34.535408015234765,117.88743732021916,38909.5134,67150.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Hume Moreland,Hume Moreland,,Major Cities of Australia,,-37.61924804859214,144.86044741668724,554.8009999999999,278885.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
ndia_service_area,Hunter New England,Hunter New England,,Outer Regional Australia,,-30.699465867328882,151.1677713321163,132385.0295,1013517.0,NDIA Service Area assembled from LGA 2021 context; population 2025 ERP,derived_from_local_curated_source
