quarter,quarter_label,quarter_end_date,geography_type,geography_code,rolling_four_quarter_mean_utilisation,rolling_eight_quarter_mean_utilisation,utilisation_trend_slope,utilisation_volatility,consecutive_quarters_below_national_benchmark,consecutive_quarters_below_remoteness_benchmark,persistent_utilisation_classification,participant_provider_growth_quadrant,payment_provider_growth_quadrant,demand_score,purchasing_score,capacity_score,performance_score,optional_cluster,cluster_diagnostic_note,reliability_flag
2024Q2,2024 Q2,2023-12-31,ndia_service_area,ACT,,,,,1,1,insufficient history,insufficient history,insufficient history,0.23174603174603176,0.30877742946708464,0.05,0.66484375,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",insufficient_history
2024Q3,2024 Q3,2024-03-31,ndia_service_area,ACT,0.76,,,0.0,2,2,stable,insufficient history,insufficient history,0.24603174603174602,0.3213166144200627,,0.66484375,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2024Q4,2024 Q4,2024-06-30,ndia_service_area,ACT,0.7633333333333333,,0.00499999999999996,0.005773502691896279,3,0,stable,insufficient history,insufficient history,0.2619047619047619,0.33699059561128525,,0.740625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2025Q1,2025 Q1,2024-09-30,ndia_service_area,ACT,0.7625,0.7625,0.0010000000000000753,0.005000000000000008,4,0,persistently low,insufficient history,insufficient history,0.30158730158730157,0.31504702194357365,,0.66484375,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2025Q2,2025 Q2,2024-12-31,ndia_service_area,ACT,0.7575000000000001,0.758,-0.00699999999999995,0.012583057392117908,5,0,persistently low,insufficient history,insufficient history,0.346031746031746,0.2962382445141066,,0.47890625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2025Q3,2025 Q3,2025-03-31,ndia_service_area,ACT,0.7525,0.755,-0.010999999999999979,0.014999999999999972,6,0,persistently low,insufficient history,insufficient history,0.36666666666666664,0.2993730407523511,,0.47890625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2025Q4,2025 Q4,2025-06-30,ndia_service_area,ACT,0.745,0.7528571428571428,-0.005999999999999997,0.009999999999999884,7,0,persistently low,insufficient history,insufficient history,0.3888888888888889,0.3463949843260188,,0.47890625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2026Q1,2026 Q1,2025-09-30,ndia_service_area,ACT,0.7349999999999999,0.74875,-0.005999999999999989,0.010000000000000009,8,1,persistently low,insufficient history,insufficient history,0.40476190476190477,0.35893416927899685,,0.32734375,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2024Q2,2024 Q2,2023-12-31,ndia_service_area,Adelaide Hills,,,,,1,1,insufficient history,insufficient history,insufficient history,0.4174603174603175,0.05956112852664577,0.65,0.57578125,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",insufficient_history
2024Q3,2024 Q3,2024-03-31,ndia_service_area,Adelaide Hills,0.755,,,0.007071067811865481,2,2,stable,insufficient history,insufficient history,0.4603174603174603,0.05799373040752351,,0.66484375,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2024Q4,2024 Q4,2024-06-30,ndia_service_area,Adelaide Hills,0.7600000000000001,,0.00999999999999996,0.010000000000000009,3,0,recovering,insufficient history,insufficient history,0.473015873015873,0.09090909090909091,,0.740625,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2025Q1,2025 Q1,2024-09-30,ndia_service_area,Adelaide Hills,0.7575000000000001,0.7575000000000001,0.0010000000000000113,0.009574271077563399,4,0,persistently low,insufficient history,insufficient history,0.5253968253968254,0.06426332288401254,,0.57578125,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2025Q2,2025 Q2,2024-12-31,ndia_service_area,Adelaide Hills,0.7525,0.752,-0.011000000000000025,0.017078251276599378,5,1,persistently low,insufficient history,insufficient history,0.5841269841269842,0.048589341692789965,,0.39296875,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",derived_from_local_curated_source
2025Q3,2025 Q3,2025-03-31,ndia_service_area,Adelaide Hills,0.7450000000000001,0.7483333333333334,-0.013999999999999999,0.019148542155126853,6,2,persistently low,insufficient history,insufficient history,0.6365079365079365,0.047021943573667714,,0.39296875,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
2025Q4,2025 Q4,2025-06-30,ndia_service_area,Adelaide Hills,0.7324999999999999,0.7442857142857143,-0.008999999999999994,0.0125830573921182,7,3,persistently low,insufficient history,insufficient history,0.6698412698412698,0.05172413793103448,,0.32734375,,"Cluster modelling was not run because the currently available feature set lacks the requested community, SEIFA and workforce inputs.",funded_plan_context_only
