quarter,quarter_label,quarter_end_date,geography_type,geography_code,geography_name,state,remoteness,population_count,participant_count,funded_plan_count,participants_per_1000,funded_plans_per_1000,participant_growth_rate,funded_plan_growth_rate,mean_plan_funding,median_plan_funding,committed_supports,payment_amount,payments_per_funded_plan,payments_per_participant,payments_per_1000_population,funding_conversion_rate,unspent_committed_funding,unspent_funding_per_funded_plan,mean_plan_utilisation,benchmark_national_funded_plans_per_1000,benchmark_national_mean_plan_utilisation,benchmark_national_mean_plan_funding,benchmark_national_payments_per_funded_plan,benchmark_remoteness_funded_plans_per_1000,benchmark_remoteness_mean_plan_utilisation,benchmark_remoteness_mean_plan_funding,benchmark_remoteness_payments_per_funded_plan,funded_plans_per_1000_gap_from_national,mean_plan_utilisation_gap_from_national,mean_plan_funding_gap_from_national,payments_per_funded_plan_gap_from_national,funded_plans_per_1000_gap_from_remoteness,mean_plan_utilisation_gap_from_remoteness,mean_plan_funding_gap_from_remoteness,payments_per_funded_plan_gap_from_remoteness,active_provider_count,registered_provider_count,funded_plans_per_active_provider,participants_per_active_provider,active_providers_per_1000_funded_plans,provider_growth_rate,payment_growth_rate,plan_value_growth_rate,supply_response_gap,funding_conversion_gap,funded_plan_volume_score,funded_plan_density_score,payment_intensity_score,unspent_funding_score,utilisation_gap_score,funded_plan_coverage_gap_score,mean_plan_funding_gap_score,payment_intensity_gap_score,provider_load_score,growth_pressure_score,funding_conversion_gap_score,underfunded_advocacy_score,utilisation_barrier_score,underserviced_provider_score,business_opportunity_score,advocacy_opportunity_score,combined_opportunity_score,opportunity_rank,opportunity_segment,opportunity_reading_note,market_density_indicator_note,population_reference_year,population_method,reliability_flag
2024Q2,2024 Q2,2023-12-31,ndia_service_area,ACT,ACT,ACT,Inner Regional Australia,484630.0,,10927.0,,22.547097785939787,,,72000.0,,786744000.0,587257000.0,53743.66248741649,,1211763.6134783237,0.7464397567696734,199487000.0,18256.33751258351,0.76,24.12050932082575,0.774810548394224,79559.82881407744,60116.50993792392,26.8899974718611,0.7630061336695022,76355.8163924701,56667.37290379991,1.5734115348859632,0.014810548394223987,7559.828814077438,6372.847450507426,4.342899685921314,0.003006133669502162,4355.816392470093,2923.7104163834156,494.0,1923.0,22.119433198380566,,45.20911503614899,,,,,0.25356024323032655,0.6875,0.35443037974683544,0.35,0.2125,0.4,0.775,0.6875,0.575,0.9625,0.50625,0.4125,0.6791666666666666,0.3416666666666666,0.6229166666666667,0.4429166666666666,0.5479166666666666,0.4954166666666666,41.0,advocacy: funding or access gap,"Proxy score from public NDIA service-area data. It combines benchmark gaps, utilisation friction, unspent committed funding and provider-activity indicators; it is a triage signal, not proof of unmet need.",supply_response_gap is participant growth minus provider growth; it is not a provider caseload measure.,2025,static 2025 ERP denominator from local processed file; quarterly interpolation unavailable without annual series,funded_plan_context_only
2024Q3,2024 Q3,2024-03-31,ndia_service_area,ACT,ACT,ACT,Inner Regional Australia,484630.0,,11143.0,,22.992798629882596,,0.019767548274915336,74000.0,,824582000.0,604124000.0,54215.5613389572,,1246567.4844726904,0.7326427207967188,220458000.0,19784.43866104281,0.76,24.68676284471637,0.7773084731227313,81027.36890354347,60498.99233345409,27.71623599286424,0.7648604023741618,77994.1725121406,56947.80441429636,1.6939642148337732,0.01730847312273127,7027.368903543465,6283.4309944968845,4.723437362981645,0.004860402374161766,3994.1725121406052,2732.24307533916,,,,,,,0.028721667004395046,0.02777777777777768,,0.26735727920328123,0.6794871794871795,0.33766233766233766,0.34615384615384615,0.3,0.44375,0.8,0.7125,0.575,,0.50625,0.4875,0.6958333333333334,0.41041666666666665,0.475,0.4422115384615384,0.5270833333333335,0.4846474358974359,45.0,advocacy: funding or access gap,"Proxy score from public NDIA service-area data. It combines benchmark gaps, utilisation friction, unspent committed funding and provider-activity indicators; it is a triage signal, not proof of unmet need.",supply_response_gap is participant growth minus provider growth; it is not a provider caseload measure.,2025,static 2025 ERP denominator from local processed file; quarterly interpolation unavailable without annual series,funded_plan_context_only
2024Q4,2024 Q4,2024-06-30,ndia_service_area,ACT,ACT,ACT,Inner Regional Australia,484630.0,,11303.0,,23.322947403173558,,0.014358790271919553,75000.0,,847725000.0,616110000.0,54508.53755640095,,1271299.7544518497,0.7267805007520127,231615000.0,20491.462443599044,0.77,25.27144981343164,0.7784608418203379,82439.3926044259,61164.480098449734,28.31985586047522,0.7685814728943384,79139.48388848934,57480.02092208034,1.948502410258083,0.00846084182033792,7439.392604425899,6655.942542048782,4.996908457301664,-0.001418527105661553,4139.48388848934,2971.4833656793853,,,,,,,0.019840297687229835,0.013513513513513598,,0.2732194992479873,0.6875,0.34177215189873417,0.3375,0.2625,0.2125,0.8,0.7,0.5625,,0.50625,0.4875,0.6875,0.3208333333333333,0.359375,0.3935416666666666,0.45590277777777777,0.4247222222222222,60.0,advocacy: funding or access gap,"Proxy score from public NDIA service-area data. It combines benchmark gaps, utilisation friction, unspent committed funding and provider-activity indicators; it is a triage signal, not proof of unmet need.",supply_response_gap is participant growth minus provider growth; it is not a provider caseload measure.,2025,static 2025 ERP denominator from local processed file; quarterly interpolation unavailable without annual series,funded_plan_context_only
2025Q1,2025 Q1,2024-09-30,ndia_service_area,ACT,ACT,ACT,Inner Regional Australia,484630.0,,11700.0,,24.14212904690176,,0.035123418561443964,74000.0,,865800000.0,631384000.0,53964.444444444445,,1302816.5817221387,0.7292492492492493,234416000.0,20035.555555555555,0.76,26.153554026565185,0.7601002932313932,82459.7494204458,60716.14056683959,29.378540729741957,0.749585874550338,79082.76206451863,56908.5598208139,2.011424979663428,0.000100293231393209,8459.749420445805,6751.696122395144,5.236411682840195,-0.010414125449662066,5082.762064518625,2944.115376369453,,,,,,,0.024791027576244407,-0.013333333333333308,,0.2707507507507507,0.6875,0.34177215189873417,0.325,0.2,0.21875,0.8125,0.725,0.55,,0.50625,0.4125,0.6958333333333334,0.27708333333333335,0.3625,0.37041666666666667,0.4451388888888889,0.4077777777777778,63.0,advocacy: funding or access gap,"Proxy score from public NDIA service-area data. It combines benchmark gaps, utilisation friction, unspent committed funding and provider-activity indicators; it is a triage signal, not proof of unmet need.",supply_response_gap is participant growth minus provider growth; it is not a provider caseload measure.,2025,static 2025 ERP denominator from local processed file; quarterly interpolation unavailable without annual series,funded_plan_context_only
2025Q2,2025 Q2,2024-12-31,ndia_service_area,ACT,ACT,ACT,Inner Regional Australia,484630.0,,12034.0,,24.83131461114665,,0.028547008547008534,74000.0,,890516000.0,641871000.0,53338.125311617085,,1324455.7703815282,0.7207854771840146,248645000.0,20661.874688382915,0.74,26.957763247112997,0.7465297732931997,82492.94748629373,60067.7940397898,30.345785307596167,0.7338446519006651,79096.43428753808,56188.57394969421,2.1264486359663444,0.006529773293199668,8492.947486293735,6729.668728172714,5.514470696449518,-0.00615534809933493,5096.434287538083,2850.448638077127,,,,,,,0.016609543479087163,0.0,,0.27921452281598536,0.6875,0.34177215189873417,0.325,0.175,0.19375,0.8125,0.725,0.6,,0.50625,0.4,0.7125,0.25625000000000003,0.35,0.35875,0.4395833333333334,0.39916666666666667,67.0,advocacy: funding or access gap,"Proxy score from public NDIA service-area data. It combines benchmark gaps, utilisation friction, unspent committed funding and provider-activity indicators; it is a triage signal, not proof of unmet need.",supply_response_gap is participant growth minus provider growth; it is not a provider caseload measure.,2025,static 2025 ERP denominator from local processed file; quarterly interpolation unavailable without annual series,funded_plan_context_only
2025Q3,2025 Q3,2025-03-31,ndia_service_area,ACT,ACT,ACT,Inner Regional Australia,484630.0,,12259.0,,25.295586323587067,,0.01869702509556248,76000.0,,931684000.0,656295000.0,53535.76963863284,,1354218.6822937084,0.7044180215609585,275389000.0,22464.230361367157,0.74,27.40732028960876,0.7506086859240299,84432.45028614352,60802.47507148593,30.943280669707555,0.735953040708486,80949.4227901239,56650.43820079907,2.111733966021696,0.010608685924029828,8432.450286143518,7266.705432853094,5.647694346120488,-0.004046959291514014,4949.422790123906,3114.6685621662327,,,,,,,0.0224718050823296,0.027027027027026973,,0.29558197843904155,0.6875,0.34177215189873417,0.325,0.25,0.2125,0.8125,0.725,0.6,,0.50625,0.475,0.7125,0.3125,0.359375,0.38687499999999997,0.4614583333333333,0.42416666666666664,62.0,advocacy: funding or access gap,"Proxy score from public NDIA service-area data. It combines benchmark gaps, utilisation friction, unspent committed funding and provider-activity indicators; it is a triage signal, not proof of unmet need.",supply_response_gap is participant growth minus provider growth; it is not a provider caseload measure.,2025,static 2025 ERP denominator from local processed file; quarterly interpolation unavailable without annual series,funded_plan_context_only
2025Q4,2025 Q4,2025-06-30,ndia_service_area,ACT,ACT,ACT,Inner Regional Australia,484630.0,,12430.0,,25.648432825041784,,0.013948935475976754,76000.0,,944680000.0,679035000.0,54628.72083668544,,1401141.076697687,0.71879895837744,265645000.0,21371.27916331456,0.74,27.77839830958376,0.7514285432706143,85151.38506175322,62192.49868267691,31.40646420190928,0.7357142727569568,81348.30207161774,57871.566955701484,2.129965484541973,0.011428543270614284,9151.385061753215,7563.77784599147,5.758031376867493,-0.004285727243043169,5348.302071617742,3242.846119016045,,,,,,,0.03464905263639073,0.0,,0.28120104162256,0.6875,0.31645569620253167,0.3125,0.2,0.1875,0.8375,0.725,0.6125,,0.50625,0.45,0.725,0.2791666666666667,0.346875,0.36520833333333336,0.45034722222222223,0.4077777777777778,66.0,advocacy: funding or access gap,"Proxy score from public NDIA service-area data. It combines benchmark gaps, utilisation friction, unspent committed funding and provider-activity indicators; it is a triage signal, not proof of unmet need.",supply_response_gap is participant growth minus provider growth; it is not a provider caseload measure.,2025,static 2025 ERP denominator from local processed file; quarterly interpolation unavailable without annual series,funded_plan_context_only
2026Q1,2026 Q1,2025-09-30,ndia_service_area,ACT,ACT,ACT,Inner Regional Australia,484630.0,,12596.0,,25.99096217733116,,0.01335478680611435,76000.0,,957296000.0,692690000.0,54992.85487456335,,1429317.2110682377,0.7235901957179388,264606000.0,21007.145125436648,0.72,28.253214646769933,0.7386029448813405,85151.81887829916,62709.42778038322,32.03344264863498,0.7233427743146025,81102.38055009648,58210.68357447111,2.2622524694387742,0.01860294488134045,9151.818878299164,7716.57290581987,6.042480471303822,0.003342774314602508,5102.380550096481,3217.828699907761,,,,,,,0.020109419985715027,0.0,,0.2764098042820612,0.6875,0.3037974683544304,0.2875,0.1875,0.43125,0.85,0.725,0.625,,0.50625,0.475,0.7333333333333334,0.3645833333333333,0.46875,0.39916666666666667,0.5222222222222223,0.46069444444444446,57.0,advocacy: funding or access gap,"Proxy score from public NDIA service-area data. It combines benchmark gaps, utilisation friction, unspent committed funding and provider-activity indicators; it is a triage signal, not proof of unmet need.",supply_response_gap is participant growth minus provider growth; it is not a provider caseload measure.,2025,static 2025 ERP denominator from local processed file; quarterly interpolation unavailable without annual series,funded_plan_context_only
2024Q2,2024 Q2,2023-12-31,ndia_service_area,Adelaide Hills,Adelaide Hills,SA,Inner Regional Australia,87986.0,2303.0,2303.0,26.17461868933694,26.17461868933694,,,61000.0,23400.0,140483000.0,102470000.0,44494.13808076422,44494.13808076422,1164617.0981747096,0.7294120996846594,38013000.0,16505.86191923578,0.75,24.12050932082575,0.774810548394224,79559.82881407744,60116.50993792392,26.8899974718611,0.7630061336695022,76355.8163924701,56667.37290379991,-2.054109368511188,0.024810548394223985,18559.82881407744,15622.371857159698,0.7153787825241622,0.013006133669502162,15355.816392470093,12173.234823035687,182.0,731.0,12.653846153846153,12.653846153846153,79.0273556231003,,,,,0.27058790031534063,0.225,0.5316455696202531,0.0875,0.0875,0.49375,0.525,0.975,0.8625,0.3625,0.50625,0.525,0.7875,0.3687500000000001,0.4541666666666666,0.24458333333333332,0.5368055555555555,0.39069444444444446,70.0,advocacy: funding or access gap,"Proxy score from public NDIA service-area data. It combines benchmark gaps, utilisation friction, unspent committed funding and provider-activity indicators; it is a triage signal, not proof of unmet need.",supply_response_gap is participant growth minus provider growth; it is not a provider caseload measure.,2025,static 2025 ERP denominator from local processed file; quarterly interpolation unavailable without annual series,derived_from_local_curated_source
2024Q3,2024 Q3,2024-03-31,ndia_service_area,Adelaide Hills,Adelaide Hills,SA,Inner Regional Australia,87986.0,2376.0,2376.0,27.00429613802196,27.00429613802196,0.03169778549717761,0.03169778549717761,62000.0,23400.0,147312000.0,105587000.0,44438.97306397306,44438.97306397306,1200043.1886891096,0.7167576300640817,41725000.0,17561.026936026938,0.76,24.68676284471637,0.7773084731227313,81027.36890354347,60498.99233345409,27.71623599286424,0.7648604023741618,77994.1725121406,56947.80441429636,-2.317533293305594,0.01730847312273127,19027.368903543465,16060.019269481025,0.711939854842278,0.004860402374161766,15994.172512140605,12508.8313503233,,,,,,,0.030418659119742397,0.016393442622950838,,0.28324236993591834,0.20512820512820512,0.5324675324675324,0.05128205128205128,0.1375,0.44375,0.575,0.975,0.8875,,0.50625,0.6,0.8125,0.39375,0.475,0.25253205128205125,0.5604166666666667,0.40647435897435896,62.0,advocacy: funding or access gap,"Proxy score from public NDIA service-area data. It combines benchmark gaps, utilisation friction, unspent committed funding and provider-activity indicators; it is a triage signal, not proof of unmet need.",supply_response_gap is participant growth minus provider growth; it is not a provider caseload measure.,2025,static 2025 ERP denominator from local processed file; quarterly interpolation unavailable without annual series,derived_from_local_curated_source
