quarter,quarter_label,quarter_end_date,geography_type,geography_code,geography_name,remoteness,support_class,support_type,support_type_group,atlas_service_type_filter,payments,local_support_share,payment_growth_rate,payments_per_funded_plan,payments_per_1000_population,national_support_share,remoteness_support_share,support_location_quotient,remoteness_support_location_quotient,national_benchmark,remoteness_benchmark,support_payment_gap_from_national_benchmark,support_payment_gap_from_remoteness_benchmark,support_share_gap_from_national,support_share_gap_from_remoteness,support_lq_gap_from_remoteness,projected_next_quarter_payments,projected_next_quarter_payment_change,support_undersupply_score,support_growth_score,support_payment_scale_score,support_payment_intensity_score,support_business_opportunity_score,support_advocacy_opportunity_score,service_type_opportunity_score,service_type_opportunity_rank,service_type_opportunity_segment,business_opportunity_score,advocacy_opportunity_score,underfunded_advocacy_score,underserviced_provider_score,funded_plans_per_1000_delta_from_national_mean,funded_plans_per_1000_delta_from_national_median,mean_plan_utilisation_delta_from_national_median,provider_saturation_delta_from_national_mean,provider_saturation_delta_from_national_median,active_provider_rate_delta_from_national_mean,active_provider_rate_delta_from_national_median,atlas_default_metric_value,atlas_default_metric_label,atlas_metric_interpretation,atlas_utilisation_median_band,payment_item_participant_count_sum_not_unique,suppressed_payment_item_rows,suppressed_participant_item_rows,source_item_rows,area_total_payments,funded_plan_count,population_count,reliability_flag
2024Q2,2024 Q2,2023-12-31,ndia_service_area,ACT,ACT,Inner Regional Australia,Capital,Capital,Capital,Capital,10128000.0,0.0172462822920799,,926.878374668253,20898.41734931804,0.0193782796494044,0.018799808570579318,0.8899800500407151,0.9173647820579087,0.0193782796494044,0.018799808570579318,1252030.372070279,912319.1817326974,0.0021319973573245,0.0015535262784994175,0.08263521794209128,10128000.0,0.0,0.6229166666666667,0.5005208333333333,0.39166666666666666,0.1375,0.4191041666666667,0.6182291666666667,0.5186666666666667,21.0,monitor,0.4429166666666666,0.5479166666666666,0.6791666666666666,0.6229166666666667,-1.5734115348859632,-3.2583330956416816,0.0,5.66871170904713,7.890745579459585,-20.08124425453113,-25.07474258580885,0.5993055555555555,Benchmark opportunity index,"Atlas benchmark fields compare each service area with the national service-area median for the same quarter. The map colour uses utilisation delta from the national median, where higher utilisation is greener and lower utilisation is redder.",Near national median,1387.0,216.0,216.0,255.0,587257000.0,10927.0,484630.0,suppression_present
2024Q3,2024 Q3,2024-03-31,ndia_service_area,ACT,ACT,Inner Regional Australia,Capital,Capital,Capital,Capital,10768000.0,0.0178241553058643,0.06319115323854652,966.3465853001885,22219.012442481893,0.0194583727189585,0.019322205014763904,0.9160146926622511,0.9224700437783908,0.0194583727189585,0.019322205014763904,987269.9604680836,905007.7823392283,0.001634217413094198,0.0014980497088996035,0.07752995622160919,11448442.338072669,680442.3380726688,0.6194444444444445,0.8375,0.40625,0.15598290598290598,0.4922777777777777,0.5793402777777779,0.5358090277777778,19.0,monitor,0.4422115384615384,0.5270833333333335,0.6958333333333334,0.475,-1.6939642148337732,-3.6004632168752515,0.0,,,,,0.5729166666666666,Benchmark opportunity index,"Atlas benchmark fields compare each service area with the national service-area median for the same quarter. The map colour uses utilisation delta from the national median, where higher utilisation is greener and lower utilisation is redder.",Near national median,1426.0,212.0,212.0,251.0,604124000.0,11143.0,484630.0,suppression_present
2024Q4,2024 Q4,2024-06-30,ndia_service_area,ACT,ACT,Inner Regional Australia,Capital,Capital,Capital,Capital,11068000.0,0.0179643245524338,0.02786032689450213,979.2090595417146,22838.04139240245,0.0199975281707571,0.020100490641070792,0.8983272532003977,0.8937256743239779,0.0199975281707571,0.020100490641070792,1252677.0812851563,1316113.288870126,0.0020332036183232996,0.002136166088636992,0.10627432567602213,11376358.098068349,308358.09806834906,0.6642361111111111,0.503125,0.40520833333333334,0.159375,0.4250972222222222,0.5417534722222223,0.4834253472222222,42.0,monitor,0.3935416666666666,0.45590277777777777,0.6875,0.359375,-1.948502410258083,-3.606630999870802,0.0,,,,,0.45729166666666665,Benchmark opportunity index,"Atlas benchmark fields compare each service area with the national service-area median for the same quarter. The map colour uses utilisation delta from the national median, where higher utilisation is greener and lower utilisation is redder.",Near national median,1490.0,191.0,191.0,231.0,616110000.0,11303.0,484630.0,suppression_present
2025Q1,2025 Q1,2024-09-30,ndia_service_area,ACT,ACT,Inner Regional Australia,Capital,Capital,Capital,Capital,12923000.0,0.0204677343740101,0.16760028912179248,1104.5299145299145,26665.70373274457,0.021638136472543,0.022065203473654323,0.9459102173600742,0.9276023399670169,0.021638136472543,0.022065203473654323,738973.158580089,1008616.43000976,0.0011704020985329015,0.001597469099644224,0.07239766003298309,15088898.536320925,2165898.5363209248,0.6246527777777778,0.9677083333333333,0.446875,0.2125,0.5244305555555556,0.53203125,0.5282309027777778,39.0,monitor,0.37041666666666667,0.4451388888888889,0.6958333333333334,0.3625,-2.011424979663424,-3.628478242570388,0.010000000000000009,,,,,0.46458333333333335,Benchmark opportunity index,"Atlas benchmark fields compare each service area with the national service-area median for the same quarter. The map colour uses utilisation delta from the national median, where higher utilisation is greener and lower utilisation is redder.",Near national median,1696.0,182.0,182.0,230.0,631384000.0,11700.0,484630.0,suppression_present
2025Q2,2025 Q2,2024-12-31,ndia_service_area,ACT,ACT,Inner Regional Australia,Capital,Capital,Capital,Capital,13413000.0,0.0208967222385806,0.037916892362454435,1114.5919893634702,27676.784350948146,0.0232639970776232,0.02372026123328084,0.8982429876025217,0.8809650970142496,0.0232639970776232,0.02372026123328084,1519485.0682110824,1812347.7980672047,0.002367274839042602,0.0028235389947002393,0.11903490298575037,13921579.2772576,508579.2772576008,0.7003472222222222,0.7125,0.4427083333333333,0.21666666666666667,0.48619444444444443,0.550607638888889,0.5184010416666667,39.0,advocacy support gap,0.35875,0.4395833333333334,0.7125,0.35,-2.126448635966348,-3.9615341736455107,0.010000000000000009,,,,,0.4520833333333334,Benchmark opportunity index,"Atlas benchmark fields compare each service area with the national service-area median for the same quarter. The map colour uses utilisation delta from the national median, where higher utilisation is greener and lower utilisation is redder.",Near national median,1784.0,168.0,168.0,216.0,641871000.0,12034.0,484630.0,suppression_present
2025Q3,2025 Q3,2025-03-31,ndia_service_area,ACT,ACT,Inner Regional Australia,Capital,Capital,Capital,Capital,13345000.0,0.0203338437745221,-0.005069708491761693,1088.587976180765,27536.471122299485,0.0243218893369776,0.024519109243114377,0.8360306016032929,0.8293059740835564,0.0243218893369776,0.024519109243114377,2617334.362411715,2746768.8007097505,0.003988045562455501,0.004185265468592277,0.17069402591644356,13277344.74017744,-67655.25982256047,0.7590277777777779,0.115625,0.4322916666666667,0.19583333333333333,0.37793055555555555,0.5730902777777778,0.47551041666666666,51.0,advocacy support gap,0.38687499999999997,0.4614583333333333,0.7125,0.359375,-2.111733966021692,-4.157078738740669,0.0,,,,,0.4614583333333333,Benchmark opportunity index,"Atlas benchmark fields compare each service area with the national service-area median for the same quarter. The map colour uses utilisation delta from the national median, where higher utilisation is greener and lower utilisation is redder.",Near national median,1827.0,169.0,169.0,216.0,656295000.0,12259.0,484630.0,suppression_present
2025Q4,2025 Q4,2025-06-30,ndia_service_area,ACT,ACT,Inner Regional Australia,Capital,Capital,Capital,Capital,14398000.0,0.0212036198428652,0.0789059572873736,1158.3266291230893,29709.262736520646,0.0248746914516048,0.025308771034546748,0.8524174012014626,0.8377972922478942,0.0248746914516048,0.025308771034546748,2492786.109840464,2787541.3394434527,0.0036710716087395984,0.004105151191681547,0.16220270775210577,15534087.973023605,1136087.9730236046,0.7555555555555555,0.7947916666666667,0.43333333333333335,0.21875,0.5135277777777778,0.5694444444444444,0.5414861111111111,24.0,advocacy support gap,0.36520833333333336,0.45034722222222223,0.725,0.346875,-2.1299654845419767,-4.252730693036536,0.0,,,,,0.45729166666666665,Benchmark opportunity index,"Atlas benchmark fields compare each service area with the national service-area median for the same quarter. The map colour uses utilisation delta from the national median, where higher utilisation is greener and lower utilisation is redder.",Near national median,1986.0,157.0,157.0,210.0,679035000.0,12430.0,484630.0,suppression_present
2026Q1,2026 Q1,2025-09-30,ndia_service_area,ACT,ACT,Inner Regional Australia,Capital,Capital,Capital,Capital,14999000.0,0.0216532648082114,0.04174190859841653,1190.774849158463,30949.384066194827,0.0253043492640577,0.025578883238929137,0.8557131654425786,0.8465289358394177,0.0253043492640577,0.025578883238929137,2529069.691720128,2719236.6307738237,0.0036510844558463006,0.003925618430717738,0.15347106416058232,15625086.88706765,626086.8870676495,0.7479166666666667,0.746875,0.440625,0.228125,0.5125416666666667,0.6180555555555556,0.5652986111111111,15.0,advocacy support gap,0.39916666666666667,0.5222222222222223,0.7333333333333334,0.46875,-2.2622524694387742,-4.2149933321865305,0.0,,,,,0.5833333333333334,Benchmark opportunity index,"Atlas benchmark fields compare each service area with the national service-area median for the same quarter. The map colour uses utilisation delta from the national median, where higher utilisation is greener and lower utilisation is redder.",Near national median,2007.0,160.0,160.0,209.0,692690000.0,12596.0,484630.0,suppression_present
2024Q2,2024 Q2,2023-12-31,ndia_service_area,ACT,ACT,Inner Regional Australia,Core,Community Participation Care,Community Participation Care,Community Participation Care,104559000.0,0.1780464089827792,,9568.866111467009,215750.15991581208,0.210220893868755,0.21905395729852709,0.8469491576509852,0.8127970440640672,0.210220893868755,0.21905395729852709,18894691.470683455,24081969.801261127,0.032174484885975796,0.04100754831574788,0.18720295593593284,104559000.0,0.0,0.9138888888888889,0.5005208333333333,0.8791666666666667,0.7822916666666667,0.7037569444444445,0.6909722222222222,0.6973645833333333,1.0,advocacy support gap,0.4429166666666666,0.5479166666666666,0.6791666666666666,0.6229166666666667,-1.5734115348859632,-3.2583330956416816,0.0,5.66871170904713,7.890745579459585,-20.08124425453113,-25.07474258580885,0.5993055555555555,Benchmark opportunity index,"Atlas benchmark fields compare each service area with the national service-area median for the same quarter. The map colour uses utilisation delta from the national median, where higher utilisation is greener and lower utilisation is redder.",Near national median,17764.0,13.0,13.0,54.0,587257000.0,10927.0,484630.0,suppression_present
2024Q3,2024 Q3,2024-03-31,ndia_service_area,ACT,ACT,Inner Regional Australia,Core,Community Participation Care,Community Participation Care,Community Participation Care,108573000.0,0.1797197264137826,0.038389808624795574,9743.605851207036,224032.76726574913,0.2116400118483487,0.22096665529061363,0.849176508941803,0.8133341484370871,0.2116400118483487,0.22096665529061363,19283810.517871812,24918259.660786673,0.031920285434566126,0.04124692887683104,0.18666585156291293,112741096.69181994,4168096.691819936,0.9149305555555557,0.5875,0.8791666666666667,0.7788461538461539,0.7205309829059828,0.6532118055555557,0.6868713942307693,8.0,advocacy support gap,0.4422115384615384,0.5270833333333335,0.6958333333333334,0.475,-1.6939642148337732,-3.6004632168752515,0.0,,,,,0.5729166666666666,Benchmark opportunity index,"Atlas benchmark fields compare each service area with the national service-area median for the same quarter. The map colour uses utilisation delta from the national median, where higher utilisation is greener and lower utilisation is redder.",Near national median,18616.0,12.0,12.0,54.0,604124000.0,11143.0,484630.0,suppression_present
2024Q4,2024 Q4,2024-06-30,ndia_service_area,ACT,ACT,Inner Regional Australia,Core,Community Participation Care,Community Participation Care,Community Participation Care,111460000.0,0.1809092532177695,0.0265904046125649,9861.098823321243,229989.88919381797,0.2132540938019542,0.22250036639491466,0.848327223137752,0.8130739564566589,0.2132540938019542,0.22250036639491466,19927979.732322007,25624700.739570886,0.032344840584184714,0.04159111317714517,0.18692604354334108,114423766.49811648,2963766.4981164783,0.9159722222222223,0.484375,0.8770833333333333,0.778125,0.6898194444444444,0.6046875,0.6472534722222223,15.0,advocacy support gap,0.3935416666666666,0.45590277777777777,0.6875,0.359375,-1.948502410258083,-3.606630999870802,0.0,,,,,0.45729166666666665,Benchmark opportunity index,"Atlas benchmark fields compare each service area with the national service-area median for the same quarter. The map colour uses utilisation delta from the national median, where higher utilisation is greener and lower utilisation is redder.",Near national median,18881.0,17.0,17.0,59.0,616110000.0,11303.0,484630.0,suppression_present
2025Q1,2025 Q1,2024-09-30,ndia_service_area,ACT,ACT,Inner Regional Australia,Core,Community Participation Care,Community Participation Care,Community Participation Care,116761000.0,0.1849286646478213,0.047559662659250046,9979.57264957265,240928.13073891425,0.2141514878865384,0.22347535644212907,0.8635413485700368,0.8275125615280547,0.2141514878865384,0.22347535644212907,18450823.027754158,24337764.45185721,0.02922282323871711,0.03854669179430778,0.17248743847194525,122314113.7717567,5553113.771756694,0.9111111111111111,0.7604166666666666,0.8791666666666667,0.78125,0.7404722222222222,0.6036458333333333,0.6720590277777778,8.0,advocacy support gap,0.37041666666666667,0.4451388888888889,0.6958333333333334,0.3625,-2.011424979663424,-3.628478242570388,0.010000000000000009,,,,,0.46458333333333335,Benchmark opportunity index,"Atlas benchmark fields compare each service area with the national service-area median for the same quarter. The map colour uses utilisation delta from the national median, where higher utilisation is greener and lower utilisation is redder.",Near national median,19123.0,19.0,19.0,60.0,631384000.0,11700.0,484630.0,suppression_present
2025Q2,2025 Q2,2024-12-31,ndia_service_area,ACT,ACT,Inner Regional Australia,Core,Community Participation Care,Community Participation Care,Community Participation Care,119918000.0,0.1868257017375765,0.027038137734346268,9964.932690709657,247442.37872191155,0.2165162931624019,0.22551514367320896,0.862871329491331,0.8284397167061348,0.2165162931624019,0.22551514367320896,19057529.608444065,24833630.7846663,0.029690591424825385,0.03868944193563245,0.1715602832938652,123160359.40082733,3242359.4008273333,0.9128472222222221,0.584375,0.8802083333333334,0.7822916666666667,0.7036944444444445,0.603732638888889,0.6537135416666667,14.0,advocacy support gap,0.35875,0.4395833333333334,0.7125,0.35,-2.126448635966348,-3.9615341736455107,0.010000000000000009,,,,,0.4520833333333334,Benchmark opportunity index,"Atlas benchmark fields compare each service area with the national service-area median for the same quarter. The map colour uses utilisation delta from the national median, where higher utilisation is greener and lower utilisation is redder.",Near national median,18539.0,18.0,18.0,59.0,641871000.0,12034.0,484630.0,suppression_present
