source_name,publisher,dataset_name,source_url,local_file,date_downloaded,reference_period,release_date,update_frequency,geography,geography_vintage,licence,notes
ndia_service_area_quarter_curated,"NDIA, curated in existing repository",Master NDIS service-area-quarter table,,data\published\master_ndis_service_area_quarter_all_available_scoped.csv,,2024Q2-2026Q1,,,NDIA Service Area,LGA 2021 assembled service areas; source release geography,,Existing curated publication asset reused as local source pending replacement with raw NDIA extracts.
ndia_service_type_quarter_curated,"NDIA, curated in existing repository",Service-type payment table,,data\published\master_ndis_service_area_quarter_service_type_custom.csv,,2024Q2-2026Q1,,,NDIA Service Area,LGA 2021 assembled service areas; source release geography,,Existing curated publication asset reused for support-type Tableau output.
ndia_historical_quarter_extract,"NDIA, curated in existing repository",Historical NDIS service-area-quarter extract,,data\processed\historical_ndis_service_area_quarter_2022q4_2025q2_extracted.csv,,2022Q4-2025Q2,,,NDIA Service Area,source release geography,,Contains active participants and plan-value measures for earlier quarters.
service_area_population_2025_erp,"ABS, curated in existing repository",Service area population denominators,,data\processed\service_area_population_2025_erp.csv,,2025,,,NDIA Service Area,LGA 2021 assembled to service area,,Static ERP denominator currently available locally; annual interpolation awaits source annual series.
service_area_remoteness_2021,"ABS, curated in existing repository",Service area remoteness context,,data\processed\service_area_geography_context_2021_2025.csv,,2021-2025,,,NDIA Service Area,2021,,Area-weighted dominant remoteness and population context.
census_2021_community_indicators,ABS,2021 Census disability and community indicators,,,,2021,,,SA2/LGA/SA3/SA4 where available,2021,,Not available locally. Add official Census DataPacks or TableBuilder extracts before populating Census indicators.
seifa_2021,ABS,SEIFA 2021,,,,2021,,,SA1/SA2/LGA/SA3/SA4 where available,2021,,Not available locally. Add official ABS SEIFA 2021 indexes before populating socioeconomic gradients.
dss_payment_data,DSS,DSS income support recipient data,,,,latest available,,,source geography,source release vintage,,Not available locally. Add official DSS payment datasets with stable download provenance.
phidu_social_health_atlas,PHIDU,Social Health Atlas indicators,,,,latest available,,,PHA or source geography,source release vintage,,Not available locally. PHIDU geographies must be preserved unless a defensible concordance is supplied.
workforce_public_sources,ABS/Jobs and Skills Australia/AHPRA or other official sources,Relevant disability and allied-health workforce measures,,,,latest available,,,source geography,source release vintage,,Not available locally. Do not label broad occupation counts as NDIS-only workforce.
housing_and_sda_context,NDIA/ABS/AIHW or other official sources,"Housing, SDA and rental-stress context",,,,latest available,,,source geography,source release vintage,,Only SDA-related payment context is present indirectly in local NDIA tables. Broader housing sources are unavailable locally.
